time_days,separation_u,magnification,flux,delta_magnitude
-0.2422065311,4.001799595,1.00622054,1.00622054,-0.00673294562
-0.2412357635,3.98577477,1.006310737,1.006310737,-0.006830266595
-0.2402649958,3.969750002,1.006402543,1.006402543,-0.006929313841
-0.2392942282,3.953725295,1.006495991,1.006495991,-0.007030123416
-0.2383234605,3.937700646,1.006591116,1.006591116,-0.007132732235
-0.2373526928,3.921676059,1.006687953,1.006687953,-0.007237178103
-0.2363819252,3.905651533,1.006786538,1.006786538,-0.007343499729
-0.2354111575,3.889627069,1.00688691,1.00688691,-0.007451736758
-0.2344403899,3.873602668,1.006989105,1.006989105,-0.007561929789
-0.2334696222,3.857578331,1.007093164,1.007093164,-0.007674120409
-0.2324988545,3.841554058,1.007199127,1.007199127,-0.007788351213
-0.2315280869,3.82552985,1.007307033,1.007307033,-0.007904665835
-0.2305573192,3.809505709,1.007416927,1.007416927,-0.008023108973
-0.2295865516,3.793481634,1.00752885,1.00752885,-0.008143726422
-0.2286157839,3.777457627,1.007642846,1.007642846,-0.008266565103
-0.2276450162,3.761433689,1.007758962,1.007758962,-0.008391673092
-0.2266742486,3.745409821,1.007877244,1.007877244,-0.008519099652
-0.2257034809,3.729386022,1.007997739,1.007997739,-0.00864889527
-0.2247327133,3.713362296,1.008120497,1.008120497,-0.008781111684
-0.2237619456,3.697338641,1.008245566,1.008245566,-0.008915801924
-0.2227911779,3.68131506,1.008372999,1.008372999,-0.009053020344
-0.2218204103,3.665291553,1.008502848,1.008502848,-0.009192822659
-0.2208496426,3.649268121,1.008635168,1.008635168,-0.009335265988
-0.219878875,3.633244765,1.008770012,1.008770012,-0.009480408887
-0.2189081073,3.617221487,1.00890744,1.00890744,-0.009628311391
-0.2179373396,3.601198287,1.009047508,1.009047508,-0.009779035059
-0.216966572,3.585175166,1.009190276,1.009190276,-0.009932643014
-0.2159958043,3.569152125,1.009335806,1.009335806,-0.01008919999
-0.2150250367,3.553129165,1.00948416,1.00948416,-0.01024877237
-0.214054269,3.537106289,1.009635404,1.009635404,-0.01041142825
-0.2130835013,3.521083495,1.009789603,1.009789603,-0.01057723746
-0.2121127337,3.505060787,1.009946826,1.009946826,-0.01074627164
-0.211141966,3.489038164,1.010107142,1.010107142,-0.0109186043
-0.2101711984,3.473015629,1.010270622,1.010270622,-0.01109431082
-0.2092004307,3.456993182,1.010437341,1.010437341,-0.01127346856
-0.208229663,3.440970825,1.010607374,1.010607374,-0.01145615691
-0.2072588954,3.424948558,1.010780798,1.010780798,-0.01164245732
-0.2062881277,3.408926384,1.010957693,1.010957693,-0.01183245337
-0.2053173601,3.392904303,1.01113814,1.01113814,-0.01202623085
-0.2043465924,3.376882317,1.011322224,1.011322224,-0.01222387781
-0.2033758247,3.360860427,1.011510031,1.011510031,-0.01242548464
-0.2024050571,3.344838634,1.011701648,1.011701648,-0.01263114411
-0.2014342894,3.32881694,1.011897168,1.011897168,-0.01284095147
-0.2004635218,3.312795347,1.012096684,1.012096684,-0.01305500451
-0.1994927541,3.296773855,1.01230029,1.01230029,-0.01327340363
-0.1985219864,3.280752467,1.012508087,1.012508087,-0.01349625192
-0.1975512188,3.264731184,1.012720175,1.012720175,-0.01372365527
-0.1965804511,3.248710007,1.012936659,1.012936659,-0.01395572241
-0.1956096835,3.232688938,1.013157645,1.013157645,-0.01419256501
-0.1946389158,3.216667978,1.013383244,1.013383244,-0.01443429777
-0.1936681481,3.20064713,1.013613568,1.013613568,-0.01468103852
-0.1926973805,3.184626394,1.013848734,1.013848734,-0.01493290831
-0.1917266128,3.168605773,1.014088862,1.014088862,-0.0151900315
-0.1907558452,3.152585269,1.014334073,1.014334073,-0.01545253585
-0.1897850775,3.136564883,1.014584495,1.014584495,-0.01572055267
-0.1888143098,3.120544616,1.014840257,1.014840257,-0.01599421687
-0.1878435422,3.104524471,1.015101494,1.015101494,-0.01627366709
-0.1868727745,3.088504451,1.015368342,1.015368342,-0.01655904585
-0.1859020069,3.072484555,1.015640943,1.015640943,-0.01685049962
-0.1849312392,3.056464788,1.015919442,1.015919442,-0.01714817895
-0.1839604715,3.04044515,1.016203989,1.016203989,-0.01745223864
-0.1829897039,3.024425643,1.016494739,1.016494739,-0.01776283781
-0.1820189362,3.008406271,1.016791849,1.016791849,-0.01808014007
-0.1810481686,2.992387034,1.017095483,1.017095483,-0.01840431365
-0.1800774009,2.976367935,1.017405808,1.017405808,-0.01873553156
-0.1791066332,2.960348977,1.017722998,1.017722998,-0.0190739717
-0.1781358656,2.944330162,1.018047231,1.018047231,-0.01941981707
-0.1771650979,2.928311491,1.018378689,1.018378689,-0.01977325587
-0.1761943303,2.912292968,1.018717561,1.018717561,-0.02013448171
-0.1752235626,2.896274595,1.019064042,1.019064042,-0.02050369376
-0.1742527949,2.880256374,1.019418331,1.019418331,-0.02088109693
