time_days,separation_u,magnification,flux,delta_magnitude
-0.2422065311,4.001799595,1.00622054,1.00622054,-0.00673294562
-0.2408185281,3.978887327,1.006349996,1.006349996,-0.006872623428
-0.239430525,3.955975178,1.00648277,1.00648277,-0.007015861918
-0.238042522,3.933063152,1.006618962,1.006618962,-0.007162768105
-0.236654519,3.91015125,1.006758676,1.006758676,-0.00731345269
-0.2352665159,3.887239475,1.00690202,1.00690202,-0.007468030197
-0.2338785129,3.864327829,1.007049105,1.007049105,-0.007626619128
-0.2324905098,3.841416313,1.007200046,1.007200046,-0.00778934211
-0.2311025068,3.818504932,1.007354963,1.007354963,-0.00795632606
-0.2297145037,3.795593686,1.00751398,1.00751398,-0.008127702354
-0.2283265007,3.772682578,1.007677225,1.007677225,-0.008303606998
-0.2269384977,3.749771612,1.00784483,1.00784483,-0.008484180815
-0.2255504946,3.726860789,1.008016934,1.008016934,-0.008669569635
-0.2241624916,3.703950112,1.008193678,1.008193678,-0.008859924492
-0.2227744885,3.681039584,1.008375211,1.008375211,-0.009055401831
-0.2213864855,3.658129207,1.008561685,1.008561685,-0.00925616373
-0.2199984824,3.635218986,1.00875326,1.00875326,-0.009462378121
-0.2186104794,3.612308921,1.0089501,1.0089501,-0.009674219028
-0.2172224763,3.589399018,1.009152375,1.009152375,-0.009891866816
-0.2158344733,3.566489278,1.009360263,1.009360263,-0.01011550845
-0.2144464703,3.543579704,1.009573948,1.009573948,-0.01034533774
-0.2130584672,3.520670301,1.00979362,1.00979362,-0.01058155568
-0.2116704642,3.497761071,1.010019476,1.010019476,-0.01082437068
-0.2102824611,3.474852018,1.010251722,1.010251722,-0.0110739989
-0.2088944581,3.451943146,1.010490572,1.010490572,-0.01133066458
-0.207506455,3.429034457,1.010736246,1.010736246,-0.01159460035
-0.206118452,3.406125956,1.010988974,1.010988974,-0.01186604762
-0.204730449,3.383217647,1.011248994,1.011248994,-0.0121452569
-0.2033424459,3.360309532,1.011516556,1.011516556,-0.01243248821
-0.2019544429,3.337401618,1.011791915,1.011791915,-0.0127280115
-0.2005664398,3.314493907,1.012075339,1.012075339,-0.01303210703
-0.1991784368,3.291586403,1.012367108,1.012367108,-0.01334506582
-0.1977904337,3.268679112,1.012667509,1.012667509,-0.01366719014
-0.1964024307,3.245772038,1.012976844,1.012976844,-0.01399879395
-0.1950144276,3.222865184,1.013295424,1.013295424,-0.01434020343
-0.1936264246,3.199958557,1.013623575,1.013623575,-0.01469175751
-0.1922384216,3.177052161,1.013961636,1.013961636,-0.01505380838
-0.1908504185,3.154146001,1.014309957,1.014309957,-0.01542672215
-0.1894624155,3.131240081,1.014668906,1.014668906,-0.01581087935
-0.1880744124,3.108334409,1.015038862,1.015038862,-0.01620667567
-0.1866864094,3.085428988,1.015420224,1.015420224,-0.01661452253
-0.1852984063,3.062523825,1.015813404,1.015813404,-0.01703484786
-0.1839104033,3.039618925,1.016218832,1.016218832,-0.01746809676
-0.1825224003,3.016714295,1.016636956,1.016636956,-0.01791473231
-0.1811343972,2.99380994,1.017068244,1.017068244,-0.01837523637
-0.1797463942,2.970905868,1.017513182,1.017513182,-0.01885011038
-0.1783583911,2.948002084,1.017972276,1.017972276,-0.01933987628
-0.1769703881,2.925098595,1.018446057,1.018446057,-0.01984507744
-0.175582385,2.902195409,1.018935074,1.018935074,-0.02036627958
-0.174194382,2.879292532,1.019439903,1.019439903,-0.02090407185
-0.1728063789,2.856389972,1.019961143,1.019961143,-0.02145906786
-0.1714183759,2.833487737,1.020499421,1.020499421,-0.0220319068
-0.1700303729,2.810585835,1.021055389,1.021055389,-0.02262325461
-0.1686423698,2.787684273,1.021629729,1.021629729,-0.02323380525
-0.1672543668,2.764783061,1.022223152,1.022223152,-0.02386428196
-0.1658663637,2.741882206,1.022836401,1.022836401,-0.02451543861
-0.1644783607,2.718981719,1.023470253,1.023470253,-0.02518806117
-0.1630903576,2.696081608,1.024125518,1.024125518,-0.02588296918
-0.1617023546,2.673181884,1.024803044,1.024803044,-0.02660101731
-0.1603143516,2.650282555,1.025503717,1.025503717,-0.02734309705
-0.1589263485,2.627383633,1.026228462,1.026228462,-0.02811013841
-0.1575383455,2.604485128,1.026978247,1.026978247,-0.02890311178
-0.1561503424,2.581587052,1.027754086,1.027754086,-0.02972302982
-0.1547623394,2.558689415,1.028557037,1.028557037,-0.03057094949
-0.1533743363,2.53579223,1.02938821,1.02938821,-0.03144797417
-0.1519863333,2.512895509,1.030248764,1.030248764,-0.03235525586
-0.1505983302,2.489999265,1.031139916,1.031139916,-0.03329399756
-0.1492103272,2.467103511,1.032062937,1.032062937,-0.03426545571
-0.1478223242,2.444208261,1.033019161,1.033019161,-0.03527094279
-0.1464343211,2.42131353,1.034009984,1.034009984,-0.03631183003
-0.1450463181,2.398419331,1.035036869,1.035036869,-0.03738955028
